"Protocol" "Study" "CellType"
"D29.2_54" "CELseq2" "GSE85241" "Alpha"
"D29.2_55" "CELseq2" "GSE85241" "Ductal"
"D29.2_56" "CELseq2" "GSE85241" "Alpha"
"D29.2_57" "CELseq2" "GSE85241" "Ductal"
"D29.2_58" "CELseq2" "GSE85241" "Gamma"
"D29.2_59" "CELseq2" "GSE85241" "Gamma"
"D29.2_60" "CELseq2" "GSE85241" "Beta"
"D29.2_61" "CELseq2" "GSE85241" "Ductal"
"D29.2_62" "CELseq2" "GSE85241" "Beta"
"D29.2_63" "CELseq2" "GSE85241" "Ductal"
"D29.2_64" "CELseq2" "GSE85241" "Gamma"
"D29.2_65" "CELseq2" "GSE85241" "Ductal"
"D29.2_66" "CELseq2" "GSE85241" "Beta"
"D29.2_67" "CELseq2" "GSE85241" "Alpha"
"D29.2_68" "CELseq2" "GSE85241" "Gamma"
"D29.2_69" "CELseq2" "GSE85241" "Alpha"
"D29.2_70" "CELseq2" "GSE85241" "Beta"
"D29.2_71" "CELseq2" "GSE85241" "Alpha"
"D29.2_72" "CELseq2" "GSE85241" "Beta"
"D29.2_74" "CELseq2" "GSE85241" "Alpha"
"D29.2_75" "CELseq2" "GSE85241" "Alpha"
"D29.2_76" "CELseq2" "GSE85241" "Alpha"
"D29.2_78" "CELseq2" "GSE85241" "Gamma"
"D29.2_79" "CELseq2" "GSE85241" "Beta"
"D29.2_80" "CELseq2" "GSE85241" "Beta"
"D29.2_81" "CELseq2" "GSE85241" "Beta"
"D29.2_82" "CELseq2" "GSE85241" "Delta"
"D29.2_84" "CELseq2" "GSE85241" "Alpha"
"D29.2_87" "CELseq2" "GSE85241" "Gamma"
"D29.2_88" "CELseq2" "GSE85241" "Ductal"
"D29.2_89" "CELseq2" "GSE85241" "Beta"
"D29.2_90" "CELseq2" "GSE85241" "Alpha"
"D29.2_91" "CELseq2" "GSE85241" "Alpha"
"D29.2_92" "CELseq2" "GSE85241" "Gamma"
"D29.2_93" "CELseq2" "GSE85241" "Alpha"
"D29.2_94" "CELseq2" "GSE85241" "Alpha"
"D29.3_1" "CELseq2" "GSE85241" "Alpha"
"D29.3_3" "CELseq2" "GSE85241" "Alpha"
"D29.3_5" "CELseq2" "GSE85241" "Beta"
"D29.3_7" "CELseq2" "GSE85241" "Beta"
"D29.3_8" "CELseq2" "GSE85241" "Delta"
"D29.3_9" "CELseq2" "GSE85241" "Delta"
"D29.3_11" "CELseq2" "GSE85241" "Delta"
"D29.3_12" "CELseq2" "GSE85241" "Ductal"
"D29.3_13" "CELseq2" "GSE85241" "Delta"
"D29.3_15" "CELseq2" "GSE85241" "Alpha"
"D29.3_16" "CELseq2" "GSE85241" "Delta"
"D29.3_17" "CELseq2" "GSE85241" "Ductal"
"D29.3_18" "CELseq2" "GSE85241" "Alpha"
"D29.3_21" "CELseq2" "GSE85241" "Beta"
"D29.3_22" "CELseq2" "GSE85241" "Alpha"
"D29.3_23" "CELseq2" "GSE85241" "Beta"
"D29.3_24" "CELseq2" "GSE85241" "Beta"
"D29.3_25" "CELseq2" "GSE85241" "Alpha"
"D29.3_28" "CELseq2" "GSE85241" "Beta"
"D29.3_29" "CELseq2" "GSE85241" "Alpha"
"D29.3_30" "CELseq2" "GSE85241" "Alpha"
"D29.3_31" "CELseq2" "GSE85241" "Alpha"
"D29.3_32" "CELseq2" "GSE85241" "Gamma"
"D29.3_33" "CELseq2" "GSE85241" "Alpha"
"D29.3_34" "CELseq2" "GSE85241" "Alpha"
"D29.3_36" "CELseq2" "GSE85241" "Beta"
"D29.3_37" "CELseq2" "GSE85241" "Beta"
"D29.3_38" "CELseq2" "GSE85241" "Alpha"
"D29.3_39" "CELseq2" "GSE85241" "Beta"
"D29.3_40" "CELseq2" "GSE85241" "Alpha"
"D29.3_41" "CELseq2" "GSE85241" "Delta"
"D29.3_42" "CELseq2" "GSE85241" "Alpha"
"D29.3_43" "CELseq2" "GSE85241" "Delta"
"D29.3_44" "CELseq2" "GSE85241" "Alpha"
"D29.3_45" "CELseq2" "GSE85241" "Delta"
"D29.3_47" "CELseq2" "GSE85241" "Alpha"
"D29.3_48" "CELseq2" "GSE85241" "Beta"
"D29.3_49" "CELseq2" "GSE85241" "Alpha"
"D29.3_50" "CELseq2" "GSE85241" "Acinar"
"D29.3_51" "CELseq2" "GSE85241" "Beta"
"D29.3_52" "CELseq2" "GSE85241" "Beta"
"D29.3_53" "CELseq2" "GSE85241" "Alpha"
"D29.3_54" "CELseq2" "GSE85241" "Delta"
"D29.3_56" "CELseq2" "GSE85241" "Alpha"
"D29.3_57" "CELseq2" "GSE85241" "Delta"
"D29.3_58" "CELseq2" "GSE85241" "Delta"
"D29.3_59" "CELseq2" "GSE85241" "Beta"
"D29.3_60" "CELseq2" "GSE85241" "Alpha"
"D29.3_61" "CELseq2" "GSE85241" "Beta"
"D29.3_64" "CELseq2" "GSE85241" "Beta"
"D29.3_66" "CELseq2" "GSE85241" "Alpha"
"D29.3_69" "CELseq2" "GSE85241" "Delta"
"D29.3_71" "CELseq2" "GSE85241" "Gamma"
"D29.3_72" "CELseq2" "GSE85241" "Alpha"
"D29.3_73" "CELseq2" "GSE85241" "other"
"D29.3_74" "CELseq2" "GSE85241" "Alpha"
"D29.3_75" "CELseq2" "GSE85241" "Delta"
"D29.3_76" "CELseq2" "GSE85241" "Alpha"
"D29.3_77" "CELseq2" "GSE85241" "Alpha"
"D29.3_78" "CELseq2" "GSE85241" "Delta"
"D29.3_79" "CELseq2" "GSE85241" "Delta"
"D29.3_81" "CELseq2" "GSE85241" "Alpha"
"D29.3_82" "CELseq2" "GSE85241" "Delta"
"D29.3_83" "CELseq2" "GSE85241" "Beta"
"D29.3_84" "CELseq2" "GSE85241" "Alpha"
"D29.3_85" "CELseq2" "GSE85241" "Delta"
"D29.3_86" "CELseq2" "GSE85241" "Beta"
"D29.3_87" "CELseq2" "GSE85241" "Beta"
"D29.3_92" "CELseq2" "GSE85241" "Alpha"
"D29.3_93" "CELseq2" "GSE85241" "Alpha"
"D29.3_94" "CELseq2" "GSE85241" "Beta"
"D29.4_2" "CELseq2" "GSE85241" "Alpha"
"D29.4_3" "CELseq2" "GSE85241" "Gamma"
"D29.4_4" "CELseq2" "GSE85241" "Beta"
"D29.4_5" "CELseq2" "GSE85241" "Alpha"
"D29.4_6" "CELseq2" "GSE85241" "Gamma"
"D29.4_8" "CELseq2" "GSE85241" "other"
"D29.4_9" "CELseq2" "GSE85241" "Alpha"
"D29.4_12" "CELseq2" "GSE85241" "Alpha"
"D29.4_13" "CELseq2" "GSE85241" "Alpha"
"D29.4_15" "CELseq2" "GSE85241" "Alpha"
"D29.4_16" "CELseq2" "GSE85241" "Alpha"
"D29.4_17" "CELseq2" "GSE85241" "Delta"
"D29.4_18" "CELseq2" "GSE85241" "Alpha"
"D29.4_19" "CELseq2" "GSE85241" "Beta"
"D29.4_20" "CELseq2" "GSE85241" "Gamma"
"D29.4_22" "CELseq2" "GSE85241" "Alpha"
"D29.4_23" "CELseq2" "GSE85241" "Beta"
"D29.4_25" "CELseq2" "GSE85241" "Alpha"
"D29.4_26" "CELseq2" "GSE85241" "Alpha"
"D29.4_27" "CELseq2" "GSE85241" "Beta"
"D29.4_28" "CELseq2" "GSE85241" "Alpha"
"D29.4_29" "CELseq2" "GSE85241" "Alpha"
"D29.4_30" "CELseq2" "GSE85241" "Alpha"
"D29.4_31" "CELseq2" "GSE85241" "Beta"
"D29.4_33" "CELseq2" "GSE85241" "Alpha"
"D29.4_34" "CELseq2" "GSE85241" "Alpha"
"D29.4_35" "CELseq2" "GSE85241" "Alpha"
"D29.4_38" "CELseq2" "GSE85241" "Alpha"
"D29.4_39" "CELseq2" "GSE85241" "Beta"
"D29.4_41" "CELseq2" "GSE85241" "Delta"
"D29.4_42" "CELseq2" "GSE85241" "Beta"
"D29.4_43" "CELseq2" "GSE85241" "Delta"
"D29.4_44" "CELseq2" "GSE85241" "Beta"
"D29.4_45" "CELseq2" "GSE85241" "Ductal"
"D29.4_46" "CELseq2" "GSE85241" "Alpha"
"D29.4_47" "CELseq2" "GSE85241" "Acinar"
"D29.4_48" "CELseq2" "GSE85241" "Alpha"
"D29.4_49" "CELseq2" "GSE85241" "Alpha"
"D29.4_50" "CELseq2" "GSE85241" "Alpha"
"D29.4_51" "CELseq2" "GSE85241" "Alpha"
"D29.4_52" "CELseq2" "GSE85241" "Beta"
"D29.4_53" "CELseq2" "GSE85241" "Alpha"
"D29.4_55" "CELseq2" "GSE85241" "Alpha"
"D29.4_56" "CELseq2" "GSE85241" "Alpha"
"D29.4_57" "CELseq2" "GSE85241" "Alpha"
"D29.4_58" "CELseq2" "GSE85241" "Alpha"
"D29.4_59" "CELseq2" "GSE85241" "Beta"
"D29.4_60" "CELseq2" "GSE85241" "Alpha"
"D29.4_61" "CELseq2" "GSE85241" "Alpha"
"D29.4_62" "CELseq2" "GSE85241" "Alpha"
"D29.4_63" "CELseq2" "GSE85241" "Beta"
"D29.4_64" "CELseq2" "GSE85241" "Delta"
"D29.4_65" "CELseq2" "GSE85241" "Alpha"
"D29.4_66" "CELseq2" "GSE85241" "Alpha"
"D29.4_67" "CELseq2" "GSE85241" "Beta"
"D29.4_68" "CELseq2" "GSE85241" "Alpha"
"D29.4_70" "CELseq2" "GSE85241" "Alpha"
"D29.4_72" "CELseq2" "GSE85241" "Alpha"
"D29.4_73" "CELseq2" "GSE85241" "Beta"
"D29.4_74" "CELseq2" "GSE85241" "Alpha"
"D29.4_75" "CELseq2" "GSE85241" "Alpha"
"D29.4_77" "CELseq2" "GSE85241" "Alpha"
"D29.4_79" "CELseq2" "GSE85241" "Beta"
"D29.4_80" "CELseq2" "GSE85241" "Alpha"
"D29.4_81" "CELseq2" "GSE85241" "Delta"
"D29.4_82" "CELseq2" "GSE85241" "other"
"D29.4_83" "CELseq2" "GSE85241" "Delta"
"D29.4_84" "CELseq2" "GSE85241" "Gamma"
"D29.4_85" "CELseq2" "GSE85241" "Alpha"
"D29.4_86" "CELseq2" "GSE85241" "Gamma"
"D29.4_88" "CELseq2" "GSE85241" "Beta"
"D29.4_90" "CELseq2" "GSE85241" "Delta"
"D29.4_92" "CELseq2" "GSE85241" "Beta"
"D29.4_93" "CELseq2" "GSE85241" "Alpha"
"D29.4_94" "CELseq2" "GSE85241" "Beta"
"D29.5_3" "CELseq2" "GSE85241" "Alpha"
"D29.5_5" "CELseq2" "GSE85241" "Alpha"
"D29.5_6" "CELseq2" "GSE85241" "Gamma"
"D29.5_7" "CELseq2" "GSE85241" "Alpha"
"D29.5_8" "CELseq2" "GSE85241" "Alpha"
"D29.5_10" "CELseq2" "GSE85241" "Beta"
"D29.5_11" "CELseq2" "GSE85241" "Alpha"
"D29.5_12" "CELseq2" "GSE85241" "Beta"
"D29.5_14" "CELseq2" "GSE85241" "Beta"
"D29.5_17" "CELseq2" "GSE85241" "Alpha"
"D29.5_18" "CELseq2" "GSE85241" "Alpha"
"D29.5_19" "CELseq2" "GSE85241" "Alpha"
"D29.5_20" "CELseq2" "GSE85241" "Beta"
"D29.5_21" "CELseq2" "GSE85241" "Beta"
"D29.5_22" "CELseq2" "GSE85241" "Beta"
"D29.5_23" "CELseq2" "GSE85241" "Beta"
"D29.5_24" "CELseq2" "GSE85241" "Alpha"
"D29.5_30" "CELseq2" "GSE85241" "Beta"
"D29.5_31" "CELseq2" "GSE85241" "Alpha"
"D29.5_32" "CELseq2" "GSE85241" "Delta"
"D29.5_33" "CELseq2" "GSE85241" "Alpha"
"D29.5_34" "CELseq2" "GSE85241" "Beta"
"D29.5_35" "CELseq2" "GSE85241" "Alpha"
"D29.5_36" "CELseq2" "GSE85241" "Delta"
"D29.5_37" "CELseq2" "GSE85241" "Beta"
"D29.5_39" "CELseq2" "GSE85241" "Alpha"
"D29.5_40" "CELseq2" "GSE85241" "Beta"
"D29.5_43" "CELseq2" "GSE85241" "Alpha"
"D29.5_44" "CELseq2" "GSE85241" "Alpha"
"D29.5_46" "CELseq2" "GSE85241" "Alpha"
"D29.5_47" "CELseq2" "GSE85241" "Delta"
"D29.5_48" "CELseq2" "GSE85241" "Alpha"
"D29.5_49" "CELseq2" "GSE85241" "Alpha"
"D29.5_51" "CELseq2" "GSE85241" "Gamma"
"D29.5_52" "CELseq2" "GSE85241" "Alpha"
"D29.5_53" "CELseq2" "GSE85241" "Beta"
"D29.5_54" "CELseq2" "GSE85241" "Alpha"
"D29.5_55" "CELseq2" "GSE85241" "Alpha"
"D29.5_56" "CELseq2" "GSE85241" "Alpha"
"D29.5_57" "CELseq2" "GSE85241" "Alpha"
"D29.5_58" "CELseq2" "GSE85241" "Beta"
"D29.5_59" "CELseq2" "GSE85241" "Alpha"
"D29.5_60" "CELseq2" "GSE85241" "Beta"
"D29.5_61" "CELseq2" "GSE85241" "Beta"
"D29.5_62" "CELseq2" "GSE85241" "Beta"
"D29.5_63" "CELseq2" "GSE85241" "Beta"
"D29.5_64" "CELseq2" "GSE85241" "Ductal"
"D29.5_65" "CELseq2" "GSE85241" "Alpha"
"D29.5_66" "CELseq2" "GSE85241" "Delta"
"D29.5_67" "CELseq2" "GSE85241" "Alpha"
"D29.5_68" "CELseq2" "GSE85241" "Alpha"
"D29.5_69" "CELseq2" "GSE85241" "Beta"
"D29.5_70" "CELseq2" "GSE85241" "Beta"
"D29.5_71" "CELseq2" "GSE85241" "Alpha"
"D29.5_73" "CELseq2" "GSE85241" "Acinar"
"D29.5_75" "CELseq2" "GSE85241" "Alpha"
"D29.5_76" "CELseq2" "GSE85241" "Delta"
"D29.5_77" "CELseq2" "GSE85241" "Delta"
"D29.5_78" "CELseq2" "GSE85241" "Acinar"
"D29.5_79" "CELseq2" "GSE85241" "Delta"
"D29.5_82" "CELseq2" "GSE85241" "Alpha"
"D29.5_83" "CELseq2" "GSE85241" "Delta"
"D29.5_84" "CELseq2" "GSE85241" "Alpha"
"D29.5_86" "CELseq2" "GSE85241" "Beta"
"D29.5_87" "CELseq2" "GSE85241" "Alpha"
"D29.5_89" "CELseq2" "GSE85241" "Ductal"
"D29.5_91" "CELseq2" "GSE85241" "Beta"
"D29.5_92" "CELseq2" "GSE85241" "Alpha"
"D29.6_1" "CELseq2" "GSE85241" "Alpha"
"D29.6_3" "CELseq2" "GSE85241" "Beta"
"D29.6_4" "CELseq2" "GSE85241" "Alpha"
"D29.6_6" "CELseq2" "GSE85241" "Alpha"
"D29.6_8" "CELseq2" "GSE85241" "Alpha"
"D29.6_9" "CELseq2" "GSE85241" "Gamma"
"D29.6_10" "CELseq2" "GSE85241" "Delta"
"D29.6_11" "CELseq2" "GSE85241" "Alpha"
"D29.6_13" "CELseq2" "GSE85241" "Alpha"
"D29.6_16" "CELseq2" "GSE85241" "Beta"
"D29.6_17" "CELseq2" "GSE85241" "Alpha"
"D29.6_19" "CELseq2" "GSE85241" "Alpha"
"D29.6_21" "CELseq2" "GSE85241" "Alpha"
"D29.6_22" "CELseq2" "GSE85241" "Delta"
"D29.6_23" "CELseq2" "GSE85241" "Delta"
"D29.6_24" "CELseq2" "GSE85241" "Alpha"
"D29.6_26" "CELseq2" "GSE85241" "Alpha"
"D29.6_27" "CELseq2" "GSE85241" "Alpha"
"D29.6_28" "CELseq2" "GSE85241" "Beta"
"D29.6_29" "CELseq2" "GSE85241" "Alpha"
"D29.6_30" "CELseq2" "GSE85241" "Delta"
"D29.6_32" "CELseq2" "GSE85241" "Beta"
"D29.6_33" "CELseq2" "GSE85241" "Alpha"
"D29.6_34" "CELseq2" "GSE85241" "Alpha"
"D29.6_38" "CELseq2" "GSE85241" "Alpha"
"D29.6_39" "CELseq2" "GSE85241" "Beta"
"D29.6_40" "CELseq2" "GSE85241" "Alpha"
"D29.6_41" "CELseq2" "GSE85241" "Alpha"
"D29.6_42" "CELseq2" "GSE85241" "Alpha"
"D29.6_43" "CELseq2" "GSE85241" "Alpha"
"D29.6_44" "CELseq2" "GSE85241" "Delta"
"D29.6_46" "CELseq2" "GSE85241" "Delta"
"D29.6_48" "CELseq2" "GSE85241" "Alpha"
"D29.6_50" "CELseq2" "GSE85241" "Beta"
"D29.6_51" "CELseq2" "GSE85241" "Alpha"
"D29.6_52" "CELseq2" "GSE85241" "Alpha"
"D29.6_53" "CELseq2" "GSE85241" "Alpha"
"D29.6_54" "CELseq2" "GSE85241" "Alpha"
"D29.6_55" "CELseq2" "GSE85241" "Gamma"
"D29.6_56" "CELseq2" "GSE85241" "Beta"
"D29.6_57" "CELseq2" "GSE85241" "Alpha"
"D29.6_58" "CELseq2" "GSE85241" "Alpha"
"D29.6_59" "CELseq2" "GSE85241" "Beta"
"D29.6_60" "CELseq2" "GSE85241" "Alpha"
"D29.6_62" "CELseq2" "GSE85241" "Beta"
"D29.6_63" "CELseq2" "GSE85241" "Delta"
"D29.6_64" "CELseq2" "GSE85241" "Gamma"
"D29.6_65" "CELseq2" "GSE85241" "Alpha"
"D29.6_66" "CELseq2" "GSE85241" "Delta"
"D29.6_67" "CELseq2" "GSE85241" "Beta"
"D29.6_69" "CELseq2" "GSE85241" "Alpha"
"D29.6_70" "CELseq2" "GSE85241" "Beta"
"D29.6_72" "CELseq2" "GSE85241" "Beta"
"D29.6_77" "CELseq2" "GSE85241" "Beta"
"D29.6_78" "CELseq2" "GSE85241" "Alpha"
"D29.6_79" "CELseq2" "GSE85241" "Alpha"
"D29.6_80" "CELseq2" "GSE85241" "Beta"
"D29.6_82" "CELseq2" "GSE85241" "Alpha"
"D29.6_83" "CELseq2" "GSE85241" "Alpha"
"D29.6_84" "CELseq2" "GSE85241" "Alpha"
"D29.6_86" "CELseq2" "GSE85241" "Alpha"
"D29.6_87" "CELseq2" "GSE85241" "Delta"
"D29.6_88" "CELseq2" "GSE85241" "Gamma"
"D29.6_89" "CELseq2" "GSE85241" "Alpha"
"D29.6_90" "CELseq2" "GSE85241" "Alpha"
"D29.6_91" "CELseq2" "GSE85241" "Alpha"
"D29.6_94" "CELseq2" "GSE85241" "Alpha"
"D29.7_1" "CELseq2" "GSE85241" "Alpha"
"D29.7_2" "CELseq2" "GSE85241" "Beta"
"D29.7_3" "CELseq2" "GSE85241" "Beta"
"D29.7_4" "CELseq2" "GSE85241" "Delta"
"D29.7_5" "CELseq2" "GSE85241" "Acinar"
"D29.7_6" "CELseq2" "GSE85241" "Alpha"
"D29.7_8" "CELseq2" "GSE85241" "Gamma"
"D29.7_12" "CELseq2" "GSE85241" "Beta"
"D29.7_14" "CELseq2" "GSE85241" "Beta"
"D29.7_17" "CELseq2" "GSE85241" "Beta"
"D29.7_18" "CELseq2" "GSE85241" "other"
"D29.7_19" "CELseq2" "GSE85241" "Delta"
"D29.7_20" "CELseq2" "GSE85241" "Ductal"
"D29.7_21" "CELseq2" "GSE85241" "Delta"
"D29.7_23" "CELseq2" "GSE85241" "Gamma"
"D29.7_25" "CELseq2" "GSE85241" "Alpha"
"D29.7_28" "CELseq2" "GSE85241" "Delta"
"D29.7_30" "CELseq2" "GSE85241" "Gamma"
"D29.7_31" "CELseq2" "GSE85241" "Beta"
"D29.7_32" "CELseq2" "GSE85241" "Alpha"
"D29.7_33" "CELseq2" "GSE85241" "Alpha"
"D29.7_34" "CELseq2" "GSE85241" "Gamma"
"D29.7_35" "CELseq2" "GSE85241" "Gamma"
"D29.7_36" "CELseq2" "GSE85241" "Gamma"
"D29.7_37" "CELseq2" "GSE85241" "Beta"
"D29.7_38" "CELseq2" "GSE85241" "Alpha"
"D29.7_39" "CELseq2" "GSE85241" "Beta"
"D29.7_40" "CELseq2" "GSE85241" "Gamma"
"D29.7_41" "CELseq2" "GSE85241" "Beta"
"D29.7_42" "CELseq2" "GSE85241" "Beta"
"D29.7_43" "CELseq2" "GSE85241" "Alpha"
"D29.7_44" "CELseq2" "GSE85241" "Alpha"
"D29.7_45" "CELseq2" "GSE85241" "Beta"
"D29.7_46" "CELseq2" "GSE85241" "Alpha"
"D29.7_47" "CELseq2" "GSE85241" "Alpha"
"D29.7_48" "CELseq2" "GSE85241" "Beta"
"D29.7_49" "CELseq2" "GSE85241" "Acinar"
"D29.7_50" "CELseq2" "GSE85241" "Alpha"
"D29.7_51" "CELseq2" "GSE85241" "Alpha"
"D29.7_52" "CELseq2" "GSE85241" "Beta"
"D29.7_54" "CELseq2" "GSE85241" "Delta"
"D29.7_55" "CELseq2" "GSE85241" "Alpha"
"D29.7_56" "CELseq2" "GSE85241" "Gamma"
"D29.7_57" "CELseq2" "GSE85241" "Alpha"
"D29.7_58" "CELseq2" "GSE85241" "Beta"
"D29.7_59" "CELseq2" "GSE85241" "Alpha"
"D29.7_60" "CELseq2" "GSE85241" "Gamma"
"D29.7_61" "CELseq2" "GSE85241" "Gamma"
"D29.7_62" "CELseq2" "GSE85241" "Alpha"
"D29.7_63" "CELseq2" "GSE85241" "Delta"
"D29.7_64" "CELseq2" "GSE85241" "Alpha"
"D29.7_65" "CELseq2" "GSE85241" "Alpha"
"D29.7_68" "CELseq2" "GSE85241" "Beta"
"D29.7_69" "CELseq2" "GSE85241" "Alpha"
"D29.7_70" "CELseq2" "GSE85241" "Alpha"
"D29.7_71" "CELseq2" "GSE85241" "Gamma"
"D29.7_72" "CELseq2" "GSE85241" "Alpha"
"D29.7_73" "CELseq2" "GSE85241" "Alpha"
"D29.7_74" "CELseq2" "GSE85241" "Gamma"
"D29.7_75" "CELseq2" "GSE85241" "Gamma"
"D29.7_76" "CELseq2" "GSE85241" "Alpha"
"D29.7_77" "CELseq2" "GSE85241" "Gamma"
"D29.7_78" "CELseq2" "GSE85241" "Delta"
"D29.7_79" "CELseq2" "GSE85241" "Delta"
"D29.7_80" "CELseq2" "GSE85241" "Alpha"
"D29.7_81" "CELseq2" "GSE85241" "Delta"
"D29.7_82" "CELseq2" "GSE85241" "Alpha"
"D29.7_84" "CELseq2" "GSE85241" "Alpha"
"D29.7_85" "CELseq2" "GSE85241" "Alpha"
"D29.7_86" "CELseq2" "GSE85241" "Alpha"
"D29.7_87" "CELseq2" "GSE85241" "Beta"
"D29.7_89" "CELseq2" "GSE85241" "Delta"
"D29.7_90" "CELseq2" "GSE85241" "Alpha"
"D29.7_91" "CELseq2" "GSE85241" "Alpha"
"D29.7_92" "CELseq2" "GSE85241" "Alpha"
"D29.7_93" "CELseq2" "GSE85241" "Alpha"
"D29.7_94" "CELseq2" "GSE85241" "Gamma"
"D29.8_2" "CELseq2" "GSE85241" "Alpha"
"D29.8_3" "CELseq2" "GSE85241" "Alpha"
"D29.8_4" "CELseq2" "GSE85241" "other"
"D29.8_7" "CELseq2" "GSE85241" "Alpha"
"D29.8_8" "CELseq2" "GSE85241" "Beta"
"D29.8_10" "CELseq2" "GSE85241" "Delta"
"D29.8_11" "CELseq2" "GSE85241" "Beta"
"D29.8_12" "CELseq2" "GSE85241" "Beta"
"D29.8_13" "CELseq2" "GSE85241" "Delta"
"D29.8_14" "CELseq2" "GSE85241" "Alpha"
"D29.8_15" "CELseq2" "GSE85241" "Delta"
"D29.8_16" "CELseq2" "GSE85241" "Alpha"
"D29.8_18" "CELseq2" "GSE85241" "Alpha"
"D29.8_19" "CELseq2" "GSE85241" "Alpha"
"D29.8_20" "CELseq2" "GSE85241" "Alpha"
"D29.8_23" "CELseq2" "GSE85241" "Beta"
"D29.8_24" "CELseq2" "GSE85241" "Alpha"
"D29.8_25" "CELseq2" "GSE85241" "Alpha"
"D29.8_26" "CELseq2" "GSE85241" "Beta"
"D29.8_27" "CELseq2" "GSE85241" "Alpha"
"D29.8_29" "CELseq2" "GSE85241" "Alpha"
"D29.8_30" "CELseq2" "GSE85241" "Alpha"
"D29.8_32" "CELseq2" "GSE85241" "Alpha"
"D29.8_33" "CELseq2" "GSE85241" "Alpha"
"D29.8_34" "CELseq2" "GSE85241" "Beta"
"D29.8_35" "CELseq2" "GSE85241" "Alpha"
"D29.8_37" "CELseq2" "GSE85241" "Alpha"
"D29.8_39" "CELseq2" "GSE85241" "Alpha"
"D29.8_40" "CELseq2" "GSE85241" "Alpha"
"D29.8_42" "CELseq2" "GSE85241" "Alpha"
"D29.8_43" "CELseq2" "GSE85241" "Gamma"
"D29.8_45" "CELseq2" "GSE85241" "Alpha"
"D29.8_46" "CELseq2" "GSE85241" "Delta"
"D29.8_48" "CELseq2" "GSE85241" "Gamma"
"D29.8_49" "CELseq2" "GSE85241" "Beta"
"D29.8_50" "CELseq2" "GSE85241" "Beta"
"D29.8_51" "CELseq2" "GSE85241" "Alpha"
"D29.8_52" "CELseq2" "GSE85241" "other"
"D29.8_54" "CELseq2" "GSE85241" "Delta"
"D29.8_55" "CELseq2" "GSE85241" "Alpha"
"D29.8_56" "CELseq2" "GSE85241" "Alpha"
"D29.8_59" "CELseq2" "GSE85241" "Alpha"
"D29.8_60" "CELseq2" "GSE85241" "Alpha"
"D29.8_62" "CELseq2" "GSE85241" "Delta"
"D29.8_63" "CELseq2" "GSE85241" "Ductal"
"D29.8_64" "CELseq2" "GSE85241" "Alpha"
"D29.8_65" "CELseq2" "GSE85241" "Alpha"
"D29.8_66" "CELseq2" "GSE85241" "Alpha"
"D29.8_67" "CELseq2" "GSE85241" "Ductal"
"D29.8_68" "CELseq2" "GSE85241" "Delta"
"D29.8_72" "CELseq2" "GSE85241" "Delta"
"D29.8_73" "CELseq2" "GSE85241" "Delta"
"D29.8_74" "CELseq2" "GSE85241" "Beta"
"D29.8_75" "CELseq2" "GSE85241" "Ductal"
"D29.8_76" "CELseq2" "GSE85241" "Alpha"
"D29.8_77" "CELseq2" "GSE85241" "Alpha"
"D29.8_79" "CELseq2" "GSE85241" "Delta"
"D29.8_80" "CELseq2" "GSE85241" "Delta"
"D29.8_81" "CELseq2" "GSE85241" "Delta"
"D29.8_82" "CELseq2" "GSE85241" "Alpha"
"D29.8_83" "CELseq2" "GSE85241" "Delta"
"D29.8_84" "CELseq2" "GSE85241" "Alpha"
"D29.8_85" "CELseq2" "GSE85241" "Delta"
"D29.8_86" "CELseq2" "GSE85241" "Alpha"
"D29.8_87" "CELseq2" "GSE85241" "Beta"
"D29.8_88" "CELseq2" "GSE85241" "Ductal"
"D29.8_90" "CELseq2" "GSE85241" "Beta"
"D29.8_91" "CELseq2" "GSE85241" "Beta"
"D29.8_94" "CELseq2" "GSE85241" "Beta"
"D31.1_1" "CELseq2" "GSE85241" "Alpha"
"D31.1_2" "CELseq2" "GSE85241" "Alpha"
"D31.1_4" "CELseq2" "GSE85241" "Alpha"
"D31.1_5" "CELseq2" "GSE85241" "Acinar"
"D31.1_6" "CELseq2" "GSE85241" "Delta"
"D31.1_7" "CELseq2" "GSE85241" "Acinar"
"D31.1_8" "CELseq2" "GSE85241" "Alpha"
"D31.1_9" "CELseq2" "GSE85241" "Acinar"
"D31.1_10" "CELseq2" "GSE85241" "Beta"
"D31.1_11" "CELseq2" "GSE85241" "Acinar"
"D31.1_12" "CELseq2" "GSE85241" "Acinar"
"D31.1_13" "CELseq2" "GSE85241" "Alpha"
"D31.1_14" "CELseq2" "GSE85241" "Beta"
"D31.1_15" "CELseq2" "GSE85241" "Delta"
"D31.1_16" "CELseq2" "GSE85241" "Ductal"
"D31.1_17" "CELseq2" "GSE85241" "Alpha"
"D31.1_19" "CELseq2" "GSE85241" "Acinar"
"D31.1_20" "CELseq2" "GSE85241" "Beta"
"D31.1_21" "CELseq2" "GSE85241" "Acinar"
"D31.1_22" "CELseq2" "GSE85241" "Acinar"
"D31.1_23" "CELseq2" "GSE85241" "other"
"D31.1_24" "CELseq2" "GSE85241" "Alpha"
"D31.1_25" "CELseq2" "GSE85241" "Acinar"
"D31.1_26" "CELseq2" "GSE85241" "Beta"
"D31.1_27" "CELseq2" "GSE85241" "Acinar"
"D31.1_28" "CELseq2" "GSE85241" "Beta"
